,PassengerId,Pclass,Sex,Age,Fare,Embarked,Title,IsAlone
0,892,3,1,2,7.8292,2,1,0
1,893,3,0,2,7.0,0,2,1
2,894,2,1,3,9.6875,2,1,0
3,895,3,1,1,8.6625,0,1,0
4,896,3,0,1,12.2875,0,2,1
5,897,3,1,0,9.225,0,1,0
6,898,3,0,1,7.6292,2,0,0
7,899,2,1,1,29.0,0,1,1
8,900,3,0,1,7.2292,1,2,0
9,901,3,1,1,24.15,0,1,1
10,902,3,1,1,7.8958,0,1,0
11,903,1,1,2,26.0,0,1,0
12,904,1,0,1,82.2667,0,2,1
13,905,2,1,3,26.0,0,1,1
14,906,1,0,2,61.175,0,2,1
15,907,2,0,1,27.7208,1,2,1
16,908,2,1,2,12.35,2,1,0
17,909,3,1,1,7.225,1,1,0
18,910,3,0,1,7.925,0,0,1
19,911,3,0,2,7.225,1,2,0
20,912,1,1,3,59.4,1,1,1
21,913,3,1,0,3.1708,0,4,1
22,914,1,0,2,31.6833,0,2,0
23,915,1,1,1,61.3792,1,1,1
24,916,1,0,2,262.375,1,2,1
25,917,3,1,3,14.5,0,1,1
26,918,1,0,1,61.9792,1,0,1
27,919,3,1,1,7.225,1,1,0
28,920,1,1,2,30.5,0,1,0
29,921,3,1,1,21.6792,1,1,1
30,922,2,1,3,26.0,0,1,1
31,923,2,1,1,31.5,0,1,1
32,924,3,0,2,20.575,0,2,1
33,925,3,0,1,23.45,0,2,1
34,926,1,1,1,57.75,1,1,1
35,927,3,1,1,7.2292,1,1,0
36,928,3,0,1,8.05,0,0,0
37,929,3,0,1,8.6625,0,0,0
38,930,3,1,1,9.5,0,1,0
39,931,3,1,1,56.4958,0,1,0
40,932,3,1,2,13.4167,1,1,1
41,933,1,1,2,26.55,0,1,0
42,934,3,1,2,7.85,0,1,0
43,935,2,0,1,13.0,0,2,0
44,936,1,0,2,52.5542,0,2,1
45,937,3,1,1,7.925,0,1,0
46,938,1,1,2,29.7,1,1,0
47,939,3,1,1,7.75,2,1,0
48,940,1,0,3,76.2917,1,2,0
49,941,3,0,2,15.9,0,2,1
50,942,1,1,1,60.0,0,1,1
51,943,2,1,1,15.0333,1,1,0
52,944,2,0,1,23.0,0,0,1
53,945,1,0,1,263.0,0,0,1
54,946,2,1,1,15.5792,1,1,0
55,947,3,1,0,29.125,2,4,1
56,948,3,1,2,7.8958,0,1,0
57,949,3,1,1,7.65,0,1,0
58,950,3,1,1,16.1,0,1,1
59,951,1,0,2,262.375,1,0,0
60,952,3,1,1,7.8958,0,1,0
61,953,2,1,1,13.5,0,1,0
62,954,3,1,1,7.75,0,1,0
63,955,3,0,1,7.725,2,0,0
64,956,1,1,0,262.375,1,4,1
65,957,2,0,1,21.0,0,2,0
66,958,3,0,1,7.8792,2,0,0
67,959,1,1,2,42.4,0,1,0
68,960,1,1,1,28.5375,1,1,0
69,961,1,0,3,263.0,0,2,1
70,962,3,0,1,7.75,2,0,0
71,963,3,1,1,7.8958,0,1,0
72,964,3,0,1,7.925,0,0,0
73,965,1,1,1,27.7208,1,1,0
74,966,1,0,2,211.5,1,0,0
75,967,1,1,1,211.5,1,1,0
76,968,3,1,1,8.05,0,1,0
77,969,1,0,3,25.7,0,2,1
78,970,2,1,1,13.0,0,1,0
79,971,3,0,1,7.75,2,0,0
80,972,3,1,0,15.2458,1,4,1
81,973,1,1,67,221.7792,0,1,1
82,974,1,1,3,26.0,0,1,0
83,975,3,1,1,7.8958,0,1,0
84,976,2,1,1,10.7083,2,1,0
